"Dim.1" "Dim.2" "Dim.3" "Dim.4" "Dim.5"
"Mud" -3.401399 2.16627 0.17110206 -0.0773922870233057 -0.17773883
"Sand" 2.920371 -1.966821 0.0246740991017665 0.342251878095338 0.217091713622239
"Macrophytes" 1.0939546 2.907248 0.516469456425975 -0.212784017498403 -0.199013971214624
"Grass" 3.03299 1.897571 0.160693238352636 0.237041251389932 -0.258855444544083
"Subm_veg" -2.420123 -1.846137 0.559717095463452 -0.111969993958646 0.100930568353625
"Overh_veg" -5.220123 1.083674 0.0917788490307495 -0.0433179379558859 0.0703918581646751
"Root_masses" -1.65955845134768 -3.00136884780348 0.38269253326103 0.244808168550038 0.127344993853314
"Algae" -0.0427818262096785 3.22145010786667 0.00617976782954261 0.142731241643054 0.428572119199059
"DO_mg.L" -3.31069679937173 1.172654 0.269005642358744 0.0842100937471841 0.295137275056335
"Turb_ntu" 2.349393 -2.89025610052128 -0.0668660533850108 -0.106614249728892 0.177634370399714
"Elev_m" -2.573205 2.312884 0.159757765444914 -0.188460880461252 -0.122881100340915
"Vel_m.s" -0.818261 -2.566315 0.227383879828648 0.159986345942186 0.173384859668301
"Depth_avg_cm" 3.60173577695851 0.950623806890706 0.155434060599311 0.235470923035507 -0.0797754842694739
"Width_m" 3.13140588178712 2.45699718149442 0.228939684718866 -0.043843125796966 -0.0211862390266787
