                   Dim.1      Dim.2        Dim.3       Dim.4       Dim.5
Mud          -0.76223796  0.5395881  0.071102057 -0.07739229 -0.07773883
Sand          0.74294547 -0.4921003  0.024674099  0.34225188  0.21709171
Macrophytes   0.21284633  0.7164877  0.516469456 -0.21278402 -0.19901397
Grass         0.67452135  0.5398978  0.160693238  0.23704125 -0.25885544
Subm_veg     -0.26669584 -0.5109850  0.559717095 -0.11196999  0.10093057
Overh_veg    -0.96540809  0.1151604  0.091778849 -0.04331794  0.07039186
Leaf_l       -0.03174878  0.4777038  0.055356584  0.60723991  0.32854464
Root_masses  -0.39513296 -0.7146116  0.382692533  0.24480817  0.12734499
algae        -0.01018615  0.7670119  0.006179768  0.14273124  0.42857212
debris        0.27036624  0.3904694  0.032083168 -0.28789167  0.70336028
Temp_C        0.37649252  0.1158080  0.765426808  0.06636244 -0.02668864
DO_mg.L      -0.78826114  0.3268224  0.269005642  0.08421009  0.29513728
Cond_uS.cm    0.33724329 -0.1932718  0.635394093 -0.38427540  0.21812798
Turb_ntu      0.58318885 -0.6881562 -0.066866053 -0.10661425  0.17763437
pH            0.12082238 -0.2810931  0.199972967 -0.83075149 -0.14698912
Elev_m       -0.73171555  0.5983058  0.159757765 -0.18846088 -0.12288110
Vel_m.s      -0.40910974 -0.7776941  0.227383880  0.15998635  0.17338486
Slope        -0.33925943 -0.2181903  0.500669362  0.62605759 -0.33828994
Depth_avg_cm  0.85755614  0.2263390  0.155434061  0.23547092 -0.07977548
Width_m       0.74557283  0.5849993  0.228939685 -0.04384313 -0.02118624
