Local,Site,GMC,MMC,TP,MXR,Ammonia,Nitrate,Phosphorus,Temp,Oxig_dissolv,pH
inside,P05,"78,68852459","91,78082192","33,785","96659,64","64,3",,0,"24,9","8,5","6,33"
inside,P05,"79,52755906","76,31578947",,"64980,61","39,3","45358,999",0,"25,1","8,1","7,46"
inside,P05,"91,30434783","79,03225806","33,905",37599,"60,7","45481,999",0,"27,3","7,8","7,15"
inside,P05,,"79,16666667",,"27508,23",,,,,,
inside,P05,"81,25","79,41176471",,"19962,6",,,,,,
inside,P05,"81,02189781","78,1443299",,"68394,68",,,,,,
inside,P05,"82,75862069","80,13245033",,"66256,3",,,,,,
inside,P05,"89,65517241","79,375","32,9","33837,82",,,,,,
inside,P05,"78,37837838","79,41176471",,"42528,26",,,,,,
inside,P05,,,,"49985,7",,,,,,
inside,P05,,,,"34985,02",,,,,,
inside,P05,,,,"40345,48",,,,,,
inside,P05,,,,"36710,67",,,,,,
inside,P05,,,,"25186,67",,,,,,
inside,P05,,,,"16229,87",,,,,,
inside,P05,,,,"25484,6",,,,,,
inside,P05,,,,"20755,11",,,,,,
inside,P05,,,,"19190,93",,,,,,
inside,P05,,,,"19110,83",,,,,,
inside,P05,,,,"22215,02",,,,,,
inside,P06,"91,74311927","82,25108225","29,935","11497,5","52,1","45454,999",3,"25,3","7,8","6,83"
inside,P06,"84,9137931","82,9787234","32,38","10819,85","77,1","45540,999",45361,"27,5","7,2","7,73"
inside,P06,"90,58823529","85,31468531","32,735","7638,14","47,5","45540,999","0,3","26,8","7,6","5,87"
inside,P06,"94,33962264","82,10526316","32,785","8345,78",,,,,,
inside,P06,"89,77272727","82,05128205","21,185","18131,08",,,,,,
inside,P06,"86,98630137","75,53191489","17,985","9426,89",,,,,,
inside,P06,"71,26436782","77,04485488","35,24","23008,61",,,,,,
inside,P06,"79,5620438","78,22878229","28,655","26395,99",,,,,,
inside,P06,"77,96610169","80,88235294",,"12316,06",,,,,,
inside,P06,"77,89473684","78,73831776","32,095","8554,56",,,,,,
inside,P06,"83,10810811","79,64205817","31,925","31371,95",,,,,,
inside,P06,"86,36363636","77,77777778","28,545","25859,78",,,,,,
inside,P06,"83,01886792","78,40909091",,"17567,45",,,,,,
inside,P06,"76,31578947","79,29515419",,"14070,86",,,,,,
inside,P06,"85,71428571","78,57142857",,"29667,14",,,,,,
inside,P06,90,"82,94117647",,,,,,,,
inside,P07,,"78,36538462","33,18","6433,31","33,4",,0,"24,9","7,7","5,76"
inside,P07,"81,44329897","81,97183099","34,315","8016,08","115,7","45454,999","450,3","25,3","7,9","6,05"
inside,P07,"79,27927928","79,28571429","35,635","14962,27","67,1",,0,"25,5",8,"4,55"
inside,P07,"86,11111111","78,48101266","31,875","14225,74",,,,,,
inside,P07,"91,89189189","78,79377432",,"16175,14",,,,,,
inside,P07,"83,82352941","77,5862069",,"13619,58",,,,,,
inside,P07,"80,28169014","89,34169279",,"11689,28",,,,,,
inside,P07,"98,1443299","79,16666667",,"20246,31",,,,,,
inside,P07,"85,23489933","77,06422018",,"25937,45",,,,,,
inside,P07,"76,11940299","79,04761905",,"35891,36",,,,,,
inside,P07,"84,52380952","84,42622951",,"18181,75",,,,,,
inside,P07,"84,3373494","81,28342246",,"33228,38",,,,,,
inside,P07,"96,42857143","82,70676692",,"26458,61",,,,,,
inside,P07,,,,"20091,93",,,,,,
inside,P07,,,,"14339,63",,,,,,
inside,P07,,,,"35156,8",,,,,,
inside,P07,,,,"44811,48",,,,,,
inside,P07,,,,"24421,49",,,,,,
inside,P07,,,,"14602,65",,,,,,
outside,P08,"80,39215686","80,88235294",,"67910,14",93,,27,"28,5","8,4",6
outside,P08,"79,375","79,7752809","84,22","135235,56","68,9","45301,999",0,"27,8","7,7","5,93"
outside,P08,"84,7826087","81,12244898","86,43","59829,13",83,"45321,999",0,27,"6,5","5,87"
outside,P08,"81,28342246","80,1980198","72,4","50206,67",,,,,,
outside,P08,"89,13043478","82,40343348","78,59","64873,4",,,,,,
outside,P08,"80,45977011","83,95061728",,"85503,73",,,,,,
outside,P08,"83,33333333","80,7486631","85,17","69936,75",,,,,,
outside,P08,"79,6875","83,72093023","91,19","66524,93",,,,,,
outside,P08,"85,10638298","88,18181818",,"66360,61",,,,,,
outside,P08,"84,7826087","80,38277512","138,44","72296,67",,,,,,
outside,P08,"83,92857143","82,75862069","97,31","81793,21",,,,,,
outside,P08,"85,33333333","83,82352941","90,9","61444,7",,,,,,
outside,P08,"80,85106383","84,51612903",,"69352,19",,,,,,
outside,P08,"81,33333333","80,87431694","87,81","72324,04",,,,,,
outside,P09,"97,08737864","88,16199377","80,1","90278,53",78,"45368,999",22,"27,3","7,9","6,59"
outside,P09,"84,57711443","83,84831461","71,71","31951,16","99,3","45550,999",45371,"26,9","7,8","6,59"
outside,P09,"85,98726115","85,54572271","98,05","85963,26","65,2","45491,999",45366,"26,6","7,9","6,59"
outside,P09,"83,83458647","76,21247113",79,"33723,31",,,,,,
outside,P09,"84,93150685","83,41158059","77,52","36510,57",,,,,,
outside,P09,"89,47368421","86,17647059",80,"28440,85",,,,,,
outside,P09,"95,29780564","82,95819936","64,95","43671,21",,,,,,
outside,P09,"86,9047619","84,70254958","59,16","91764,47",,,,,,
outside,P09,"91,30434783","83,33333333",,"100536,82",,,,,,
outside,P09,"94,14634146","87,00787402",,"50608,1",,,,,,
outside,P09,"90,14778325","86,60436137","77,73","50871,67",,,,,,
outside,P09,"94,61077844","79,33333333","63,96","94023,69",,,,,,
outside,P09,"94,44444444","84,9537037","64,29","79348,06",,,,,,
outside,P09,"89,05109489","87,86610879",,"150658,77",,,,,,
outside,P09,,,,"36124,77",,,,,,
outside,P09,,,,"99936,46",,,,,,
outside,P09,,,,"50530,92",,,,,,
outside,P09,,,,"64401,79",,,,,,
outside,P09,,,,"58566,54",,,,,,
outside,P09,,,,"66073,56",,,,,,
outside,P09,,,,"62738,3",,,,,,
outside,P10,"97,27272727","91,22807018",,"48438,24","203,9","45358,999",47,"26,5","5,1","7,26"
outside,P10,"96,73539519","82,74231678","61,72","44047,44","277,5","45386,999","55,3","26,3","6,1","6,71"
outside,P10,"93,22033898","80,25751073","87,71","48205,33","249,8","45550,999",45486,"26,2","4,9","6,61"
outside,P10,"97,86585366","92,88256228",,"22511,71",,,,,,
outside,P10,"95,23809524","93,31619537",,"17231,62",,,,,,
outside,P10,90,"86,64921466","82,16","38382,16",,,,,,
outside,P10,"90,22222222","91,73913043",,121047,,,,,,
outside,P10,"94,32624113","93,53680431",,"58211,18",,,,,,
outside,P10,"94,96855346",,86,"12155,58",,,,,,
outside,P10,"86,9047619","72,83105023","56,35","37724,49",,,,,,
outside,P10,"96,96969697",,,"82896,51",,,,,,
outside,P10,"92,98245614",,,"43066,78",,,,,,
outside,P10,,,,"142862,71",,,,,,
outside,P10,,,,"78141,02",,,,,,
outside,P10,,,,"24587,86",,,,,,
outside,P10,,,,"77215,71",,,,,,
outside,P10,,,,"53775,34",,,,,,
outside,P10,,,,"80069,76",,,,,,
outside,P10,,,,"75880,3",,,,,,
outside,P10,,,,"71410,24",,,,,,
outside,P10,,,,"85115,62",,,,,,
outside,P10,,,,85940,,,,,,
