"Mud";"Sand";"Macrophytes";"Grass";"Subm_veg";"Overh_veg";"Leaf_l";"Root_masses";"algae";"debris";"Temp_C";"DO_mg.L";"Cond_uS.cm";"Turb_ntu";"pH";"Elev_m";"Vel_m.s";"Slope";"Depth_avg_cm";"Width_m"
"S-B-P05-H1";0.269564636388503;0;0.164033941022975;0;0.201357920790331;0.290771149758077;0.206443289084642;0;0.226669313504066;0.307240159712578;4.98998997994986;2.91547594742265;11.5758369027902;2.61725046566048;2.51594912508182;10.3474634572923;0;1.22474487139159;3.69684550213648;1.90787840283389
"S-B-P05-H2";0.269564636388503;0;0.164033941022975;0;0.201357920790331;0.290771149758077;0.206443289084642;0;0.226669313504066;0.307240159712578;5.00999001995014;2.84604989415154;12.8218563398597;3.27108544675922;2.73130005674953;10.3474634572923;0.158113883008419;1;3.69684550213648;1.90787840283389
"S-B-P05-H3";0.269564636388503;0;0.164033941022975;0;0.201357920790331;0.290771149758077;0.206443289084642;0;0.226669313504066;0.307240159712578;5.22494019104525;2.79284800875379;11.8701305805791;2.14941852602047;2.67394839142419;10.3474634572923;0.158113883008419;1;3.69684550213648;1.90787840283389
"S-B-P06-H1";0.269564636388503;0;0.411516846067488;0.167683339199132;0.201357920790331;0.27369937292397;0.145455120257635;0.130559509885021;0;0.12378205555992;5.02991053598372;2.79284800875379;12.4137021069462;1.46287388383278;2.6134268690744;10.6226173799116;0.187668684393898;1.58113883008419;4.50924975282289;2.0976176963403
"S-B-P06-H2";0.269564636388503;0;0.411516846067488;0.167683339199132;0.353741605889671;0.282350307113881;0.0648658508140984;0.227449869328151;0.100673753550577;0.135666225879644;5.24404424085076;2.68328157299975;12.5219806739988;1.4560219778561;2.78028775489157;10.6226173799116;0.187668684393898;1.58113883008419;4.50924975282289;2.0976176963403
"S-B-P06-H3";0.269564636388503;0;0;0.167683339199132;0.201357920790331;0.27369937292397;0.145455120257635;0.130559509885021;0;0.12378205555992;5.17687164221791;2.75680975041804;11.5801554393713;3.75499667110372;2.42280828791714;10.6226173799116;0.187668684393898;1.58113883008419;5.32290647422377;1.51657508881031
"S-B-P07-H1";0.255413562517079;0.160820480674465;0;0.167683339199132;0;0.290771149758077;0.362952363130591;0.227449869328151;0.142616779560759;0.215514168630551;4.98998997994986;2.77488738510232;9.91362698511498;1.22882057274445;2.4;9.43647179829411;0.148930608173044;1.58113883008419;4;1.44913767461894
"S-B-P07-H2";0.255413562517079;0.160820480674465;0;0;0;0.282350307113881;0.145455120257635;0.185171316045857;0.478632959524503;0.184169323901255;5.02991053598372;2.81069386451104;12.6570138658374;3.04138126514911;2.45967477524977;9.43647179829411;0.329281445174651;1.22474487139159;4.50924975282289;1.06770782520313
"S-B-P07-H3";0.255413562517079;0.160820480674465;0;0.0747088144103155;0.286756552211548;0.27369937292397;0.330062189613689;0.130559509885021;0.32343029719549;0.12378205555992;5.04975246918104;2.82842712474619;11.3357840487546;1.58745078663875;2.13307290077015;9.43647179829411;0.295342875875173;1.58113883008419;4.76095228569524;1.34164078649987
"S-B-P08-H1";0.240508513010229;0.228437001766331;0.601264216679128;0.555984549783281;0;0.166286455173105;0.362952363130591;0;0.399816663950217;0.307240159712578;5.33853912601566;2.89827534923789;12.7003936946852;2.50199920063936;2.44948974278318;9.4371076077366;0;1.4142135623731;7.16472842006822;3.82099463490856
"S-B-P08-H2";0.240508513010229;0.228437001766331;0.37379217483451;0.340329024048157;0.201357920790331;0.166286455173105;0.294107217151393;0;0.466168107526526;0.332768455525168;5.27257053058563;2.77488738510232;12.7200628929263;2.60768096208106;2.43515913237718;9.4371076077366;0;1.4142135623731;7.16472842006822;3.82099463490856
"S-B-P08-H3";0.240508513010229;0.228437001766331;0.353741605889671;0.540326645160935;0.201357920790331;0.166286455173105;0.362952363130591;0;0.399816663950217;0.307240159712578;5.19615242270663;2.54950975679639;12.6015872016187;2.47588368062799;2.42280828791714;9.4371076077366;0;1.4142135623731;5.47722557505166;3.82099463490856
"S-B-P09-H1";0.240508513010229;0.228437001766331;0;0;0.286756552211548;0.27369937292397;0.362952363130591;0.424311555850309;0;0.0552438583901317;5.22494019104525;2.81069386451104;12.8646803302686;4.14728827066554;2.56709953059869;8.42751446157169;0.529150262212918;1.73205080756888;3.95811402901264;0.9
"S-B-P09-H2";0.20777600399223;0.32600003255365;0;0;0.411516846067488;0.255612210897221;0.0648658508140984;0.585174396904325;0;0.175507205549754;5.18652099195598;2.79284800875379;12.774975538137;4.20713679359253;2.56709953059869;8.42751446157169;0.5;1.73205080756888;3.87298334620742;1.26491106406735
"S-B-P09-H3";0.22469850344177;0.281034901502814;0;0;0.411516846067488;0.236274529619553;0.206443289084642;0.585174396904325;0;0.356733388514094;5.15751878329105;2.81069386451104;12.6964561984831;4.18330013267038;2.56709953059869;8.42751446157169;0.589767824619589;1.4142135623731;4.43471156521669;1.15325625946708
"S-B-P10-H1";0.119381635510274;0.470027511577621;0.164033941022975;0.238278697100245;0.201357920790331;0.0676252697779662;0.206443289084642;0;0;0.215514168630551;5.1478150704935;2.25831795812724;12.4579292019179;4.91934955049954;2.6944387170615;6.44003105582574;0.14824986333222;1.22474487139159;6.37704215656967;2.68328157299975
"S-B-P10-H2";0.119381635510274;0.470027511577621;0;0.0747088144103155;0.286756552211548;0.135562302180851;0.145455120257635;0.185171316045857;0;0.249513340109114;5.12835256198323;2.46981780704569;12.5658266739598;5.89915248150105;2.59036676939772;6.44003105582574;0.14824986333222;1.4142135623731;6.37704215656967;2.68328157299975
"S-B-P10-H3";0.189441986812943;0.36618656020528;0;0.421156848994305;0;0;0.0648658508140984;0;0;0.175507205549754;5.11859355682789;2.21359436211787;12.2351951353462;5.46808924579693;2.57099202643649;6.44003105582574;0.14824986333222;1;6.37704215656967;2.68328157299975
