"Site";"Rio";"Segmento";"Ponto_N";"Bacia";"Trecho";"Habitat";"Data";"Data_txt";"Coleta";"Ponto";"Ref_site";"Especie";"Compr.total_mm";"Compr.padrao_mm";"Altura_mm";"Peso_mg";"Peso_g";"RPC";"Observação.(*)";"Amostra_tipo";"Etiqueta1";"Etiqueta2";"No._Peixe1";"Etiqueta3";"No._Peixe2";"Peso_epp_g";"Peso_úmido_g";"Peso_brânquia_mg";"Fluorescência_rfu_T1";"Fluorescência_rfu_T2";"Fluorescência_rfu_T3";"Fluorescência_rfu_M";"Rodamina_rfu_mg";"Peso_epp_brânquias_g";"Peso_epp_úmido_brânquias_g";"Peso_epp_seco_brânquias_mg";"Peso_úmido_brânquias_mg";"Peso_seco_brânquias_mg";"TH_branquia";"TH_branquia_p";"Peso_epp_músculo_g";"Peso_epp_úmido_músculo_g";"Peso_epp_seco_músculo_mg";"Peso_úmido_músculo_mg";"Peso_seco_músculo_mg";"TH_musculo";"TH_musculo_p";"Proteinas_Totais_mg"
"1-10-1";"B-P10";"Barro Branco";"BarroBranco2";"Ponto10";"Barro Branco";"Barro Branco Baixo";"Rio";45168;"30/08/2023";1;10;4;"Hemigrammus marginatus";30.3;22.2;6.4;218;0.218;0.0215841584158416;NA;"rd";"1-10-1";"1-10-1";"P1-R";"1-10-1";"P1-R";0.9114;0.9318;20.4;1509372;1302144;NA;1405758;68909.705882353;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75;NA
"1-10-2";"B-P10";"Barro Branco";"BarroBranco2";"Ponto10";"Barro Branco";"Barro Branco Baixo";"Rio";45168;"30/08/2023";1;10;4;"Hemigrammus marginatus";24.4;19;4.8;142;0.142;0.0174590163934426;NA;"rd";"1-10-2";"1-10-2";"P2-R";"1-10-2";"P2-R";1.1044;1.1177;13.3;1155805;1113224;NA;1134514.5;85301.8421052632;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1-10-3";"B-P10";"Barro Branco";"BarroBranco2";"Ponto10";"Barro Branco";"Barro Branco Baixo";"Rio";45168;"30/08/2023";1;10;4;"Hemigrammus marginatus";29.1;24.4;6.9;299;0.299;0.0308247422680412;NA;"rd";"1-10-3";"1-10-3";"P3-R";"1-10-3";"P3-R";0.9082;0.9435;35.3;2211777;2737778;NA;2474777.5;70107.0113314448;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1-10-4";"B-P10";"Barro Branco";"BarroBranco2";"Ponto10";"Barro Branco";"Barro Branco Baixo";"Rio";45168;"30/08/2023";1;10;4;"Hemigrammus marginatus";27.5;22.5;6.6;255;0.255;0.0278181818181818;NA;"rd";"1-10-4";"1-10-4";"P1-RV";"1-10-4";"P1-RV";0.9365;0.9392;2.7;2373390;2289160;NA;2331275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1-10-5";"B-P10";"Barro Branco";"BarroBranco2";"Ponto10";"Barro Branco";"Barro Branco Baixo";"Rio";45168;"30/08/2023";1;10;4;"Astyanax fasciatus";20.9;17.8;4.7;119;0.119;0.0170813397129187;NA;"rd";"1-10-5";"1-10-5";"P2-RV";"1-10-5";"P2-RV";0.9298;0.9305;0.7;1016550;1016550;NA;1016550;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1-10-6";"B-P10";"Barro Branco";"BarroBranco2";"Ponto10";"Barro Branco";"Barro Branco Baixo";"Rio";45168;"30/08/2023";1;10;4;"Astyanax fasciatus";23.3;19.8;5;168;0.168;0.0216309012875536;NA;"xx";"1-10-6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2-6-1";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";35.4;25.4;9.3;363;0.363;0.0307627118644068;NA;"rd";"2-6-1";"2-6-1";"P1";"2-6-1";"P1";0.9483;0.972;23.6999999999999;257542;292409;267521;272490.666666667;11497.4964838256;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2-6-2";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";31.8;23.1;8.2;236;0.236;0.0222641509433962;NA;"rd";"2-6-2";"2-6-2";"P2";"2-6-2";"P2";0.9449;0.97;25.1;251446;269553;293736;271578.333333333;10819.8539176627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2-6-3";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";31.5;24.2;8.6;277;0.277;0.0263809523809524;NA;"rd";"2-6-3";"2-6-3";"P3";"2-6-3";"P3";0.9383;0.9652;26.8999999999999;213094;190903;212401;205466;7638.14126394054;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2-6-4";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";32;24.2;9.1;297;0.297;0.02784375;NA;"rd";"2-6-4";"2-6-4";"P4";"2-6-4";"P4";0.9404;0.9771;36.7;264832;316609;337429;306290;8345.7765667575;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2-6-5";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";32.1;27.4;10.1;459;0.459;0.0428971962616822;NA;"rd";"2-6-5";"2-6-5";"P5";"2-6-5";"P5";0.9616;0.9894;27.7999999999999;470638;503585;537909;504044;18131.0791366907;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2-6-6";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";34.7;26.2;9.3;434;0.434;0.037521613832853;NA;"rd";"2-6-6";"2-6-6";"P6";"2-6-6";"P6";0.9524;0.9766;24.2;211754;256153;216485;228130.666666667;9426.8870523416;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AD2-6-1";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";32.2;24.6;9.6;320;0.32;0.0298136645962733;NA;"th";"AD2-6-1";"AD2-6-1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;1.1568;1.1677;1.1577;0.0109;9e-04;0.9174311927;91.74311927;1.149;1.1952;1.1572;0.0462;0.0082;0.8225108225;82.25108225;29.935
"AD2-6-2";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";35.4;33.2;9.2;244;0.244;0.0206779661016949;NA;"th";"AD2-6-2";"AD2-6-2";"2";NA;"2";NA;NA;NA;NA;NA;NA;NA;NA;0.9486;0.9718;0.9521;0.0232;0.0035;0.849137931;84.9137931;0.917;0.9358;0.9202;0.0188;0.0032;0.829787234;82.9787234;32.38
"AD2-6-3";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";49.1;29.2;11;476;0.476;0.0290835030549898;NA;"th";"AD2-6-3";"AD2-6-3";"3";NA;"3";NA;NA;NA;NA;NA;NA;NA;NA;0.9526;0.9611;0.9534;0.0085;8e-04;0.9058823529;90.58823529;0.9565;0.9851;0.9607;0.0286;0.0042;0.8531468531;85.31468531;32.735
"AD2-6-4";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";33.3;25;8.5;258;0.258;0.0232432432432432;NA;"th";"AD2-6-4";"AD2-6-4";"4";NA;"4";NA;NA;NA;NA;NA;NA;NA;NA;0.9446;0.9552;0.9452;0.0106;6e-04;0.9433962264;94.33962264;0.9548;1.0118;0.965;0.057;0.0102;0.8210526316;82.10526316;32.785
"AD2-6-5";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";35.4;27.2;9.4;288;0.288;0.0244067796610169;NA;"th";"AD2-6-5";"AD2-6-5";"5";NA;"5";NA;NA;NA;NA;NA;NA;NA;NA;0.9493;0.9581;0.9502;0.0088;9e-04;0.8977272727;89.77272727;0.962;1.0049;0.9697;0.0429;0.0077;0.8205128205;82.05128205;21.185
"AD2-6-6";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";33.3;25.2;10.2;393;0.393;0.0354054054054054;NA;"th";"AD2-6-6";"AD2-6-6";"6";NA;"6";NA;NA;NA;NA;NA;NA;NA;NA;0.9672;0.9818;0.9691;0.0146;0.0019;0.8698630137;86.98630137;0.9394;1.0052;0.9555;0.0658;0.0161;0.7553191489;75.53191489;17.985
