                     Dim.1       Dim.2        Dim.3       Dim.4       Dim.5
w.Temp_C        0.44344649  0.02883894 -0.070857784  0.68415425  0.21082781
w.DO_mg.L      -0.69326748  0.47188225  0.027871482  0.36175080  0.19042764
w.Cond_uS.cm    0.30301171 -0.26154618 -0.372839237  0.36359333  0.47982630
w.Turb_ntu      0.45065595 -0.69603203 -0.314052389 -0.18600411  0.04205149
w.pH            0.07351404 -0.15954492 -0.821690777  0.01678535  0.04986792
m.Elev_m       -0.61869744  0.66188122  0.017102934  0.21842535  0.01599709
m.Vel_m.s      -0.33623641 -0.77172489  0.287902016  0.28767287  0.20059451
m.Slope        -0.28395905 -0.28406061  0.429786626  0.71988271 -0.27387348
m.Depth_max_cm  0.92228075  0.05419427  0.157512507  0.25850635 -0.16918884
m.Depth_avg_cm  0.92523090  0.08961144  0.150297612  0.16996426 -0.09330303
m.Depth_mar_cm  0.77068469  0.20312734  0.039664304  0.18826295 -0.33643503
m.Width_m       0.79595349  0.46919329 -0.250444810  0.17641807 -0.12065656
s.Mud          -0.66950620  0.55340489 -0.172393338  0.14533043 -0.26516538
s.Sand          0.66488483 -0.58520795  0.294049759 -0.03298847  0.26795767
h.Macrophytes   0.34646892  0.62473887 -0.057921686  0.45362069  0.15726126
h.Grass         0.75700844  0.27426494  0.384509607  0.15389623 -0.03087768
h.Subm_veg     -0.32251881 -0.46249892 -0.284034921  0.46982613  0.25736565
h.Overh_veg    -0.92188169  0.26459920 -0.002650925  0.18122894  0.04753717
h.Leaf_l        0.03319333  0.35769797  0.621110177  0.11038803  0.33816493
h.Algae_f      -0.02317058 -0.03013008  0.704348980 -0.24354836  0.45114027
h.Algae_a       0.12666313  0.84522388 -0.050175007  0.13839943  0.18984575
h.Root_masses  -0.45620542 -0.65882611 -0.028792579  0.43946739  0.02768121
h.Debris_l      0.16565252  0.53229588 -0.164664120 -0.47169803  0.58907617
h.Debris_s      0.37663641  0.12584026 -0.478612797  0.24127883  0.26029358
