"Site"	"Especie"	"Amostra_tipo"	"Count"
"1"	"B-P05"	"Hemigrammus unilineatus"	"rd"	20
"2"	"B-P05"	"Hemigrammus unilineatus"	"th"	9
"3"	"B-P06"	"Hemigrammus unilineatus"	"rd"	15
"4"	"B-P06"	"Hemigrammus unilineatus"	"th"	16
"5"	"B-P07"	"Hemigrammus unilineatus"	"rd"	19
"6"	"B-P07"	"Hemigrammus unilineatus"	"th"	13
"7"	"B-P08"	"Astyanax bimaculatus"	"rd"	1
"8"	"B-P08"	"Astyanax bimaculatus"	"th"	2
"9"	"B-P08"	"Hemigrammus marginatus"	"rd"	1
"10"	"B-P08"	"Hemigrammus rodwayi"	"rd"	4
"11"	"B-P08"	"Hemigrammus rodwayi"	"th"	2
"12"	"B-P08"	"Hemigrammus unilineatus"	"rd"	10
"13"	"B-P08"	"Hemigrammus unilineatus"	"th"	10
"14"	"B-P09"	"Astyanax bimaculatus"	"rd"	1
"15"	"B-P09"	"Astyanax bimaculatus"	"th"	1
"16"	"B-P09"	"Astyanax fasciatus"	"rd"	3
"17"	"B-P09"	"Astyanax fasciatus"	"th"	10
"18"	"B-P09"	"Hemigrammus rodwayi"	"rd"	2
"19"	"B-P09"	"Hemigrammus unilineatus"	"rd"	14
"20"	"B-P09"	"Hemigrammus unilineatus"	"th"	3
"21"	"B-P10"	"Astyanax bimaculatus"	"rd"	3
"22"	"B-P10"	"Astyanax bimaculatus"	"th"	1
"23"	"B-P10"	"Astyanax fasciatus"	"rd"	10
"24"	"B-P10"	"Astyanax fasciatus"	"th"	6
"25"	"B-P10"	"Hemigrammus marginatus"	"rd"	4
"26"	"B-P10"	"Hemigrammus rodwayi"	"rd"	9
"27"	"B-P10"	"Hemigrammus rodwayi"	"th"	5
"28"	"B-P10"	"Hemigrammus unilineatus"	"rd"	1
