              Min. X1st.Qu. Median  Mean X3rd.Qu.  Max.
h.Algae.a     0.00     0.08   1.33  3.22     4.33 11.67
h.Algae.f     0.00     0.00   0.00  4.22     6.50 16.67
h.Subm.veg    3.33     3.75   5.00  6.94     7.50 16.67
h.Debris.l    0.33     3.75   5.83  7.83    10.42 20.00
h.Debris.s    3.67     6.25  10.00  9.56    12.75 15.00
h.Grass       0.00     0.50   3.50  9.97    11.50 39.17
h.Macrophytes 0.00     0.42   3.33 10.42    16.25 35.83
h.Leaf.l      3.67     6.50  11.83 13.22    18.42 26.67
h.Root.masses 0.00     0.83   5.83 16.39     9.58 76.67
h.Overh.veg   8.33    40.00  75.83 60.83    84.17 90.00
