"Periodo";"Rio";"Segmento";"PontoN";"Data";"Coleta";"Bacia";"Trecho";"Habitat";"Ponto";"Ref_site";"Lote_m";"Habitat_Transect"
"S-B-P05-H1";"seco";"Barro Branco";"BarroBranco1";"Ponto5";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";5;1;"n/a";1
"S-B-P05-H2";"seco";"Barro Branco";"BarroBranco1";"Ponto5";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";5;1;"n/a";2
"S-B-P05-H3";"seco";"Barro Branco";"BarroBranco1";"Ponto5";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";5;1;"n/a";3
"S-B-P06-H1";"seco";"Barro Branco";"BarroBranco1";"Ponto6";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";6;1;"n/a";1
"S-B-P06-H2";"seco";"Barro Branco";"BarroBranco1";"Ponto6";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";6;1;"n/a";2
"S-B-P06-H3";"seco";"Barro Branco";"BarroBranco1";"Ponto6";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";6;1;"n/a";3
"S-B-P07-H1";"seco";"Barro Branco";"BarroBranco1";"Ponto7";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";7;1;"n/a";1
"S-B-P07-H2";"seco";"Barro Branco";"BarroBranco1";"Ponto7";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";7;1;"n/a";2
"S-B-P07-H3";"seco";"Barro Branco";"BarroBranco1";"Ponto7";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";7;1;"n/a";3
"S-B-P08-H1";"seco";"Barro Branco";"BarroBranco2";"Ponto8";45168;1;"Barro Branco";"Barro Branco Médio";"Rio";8;4;"n/a";1
"S-B-P08-H2";"seco";"Barro Branco";"BarroBranco2";"Ponto8";45168;1;"Barro Branco";"Barro Branco Médio";"Rio";8;4;"n/a";2
"S-B-P08-H3";"seco";"Barro Branco";"BarroBranco2";"Ponto8";45168;1;"Barro Branco";"Barro Branco Médio";"Rio";8;4;"n/a";3
"S-B-P09-H1";"seco";"Barro Branco";"BarroBranco2";"Ponto9";45168;1;"Barro Branco";"Barro Branco Médio";"Rio";9;3;"n/a";1
"S-B-P09-H2";"seco";"Barro Branco";"BarroBranco2";"Ponto9";45168;1;"Barro Branco";"Barro Branco Médio";"Rio";9;3;"n/a";2
"S-B-P09-H3";"seco";"Barro Branco";"BarroBranco2";"Ponto9";45168;1;"Barro Branco";"Barro Branco Médio";"Rio";9;3;"n/a";3
"S-B-P10-H1";"seco";"Barro Branco";"BarroBranco2";"Ponto10";45168;1;"Barro Branco";"Barro Branco Baixo";"Rio";10;4;"n/a";1
"S-B-P10-H2";"seco";"Barro Branco";"BarroBranco2";"Ponto10";45168;1;"Barro Branco";"Barro Branco Baixo";"Rio";10;4;"n/a";2
"S-B-P10-H3";"seco";"Barro Branco";"BarroBranco2";"Ponto10";45168;1;"Barro Branco";"Barro Branco Baixo";"Rio";10;4;"n/a";3
