"n.Ammonia_NH3_ug.L";"n.Nitrate_NO3__ug.L";"n.Orthophosphate_SRP__ug.L";"n.Phosphorus_TP__ug.L"
"S-B-P05-H1";64.32;0;0;0
"S-B-P05-H2";39.32;8.29;0;0
"S-B-P05-H3";60.68;9.71;0;0
"S-B-P06-H1";52.05;12.57;0;3
"S-B-P06-H2";77.05;6.86;0;10.33
"S-B-P06-H3";47.5;6.86;0;0.33
"S-B-P07-H1";33.41;0;0;0
"S-B-P07-H2";115.68;12.57;3;150.33
"S-B-P07-H3";67.05;4;0;0
"S-B-P08-H1";92.95;14;0;27
"S-B-P08-H2";68.86;11.14;0;0
"S-B-P08-H3";82.95;31.14;0;0
"S-B-P09-H1";77.95;18.29;0;22
"S-B-P09-H2";99.32;16.86;0;20.33
"S-B-P09-H3";65.23;19.71;0;15.33
"S-B-P10-H1";203.86;8.29;0;47
"S-B-P10-H2";277.5;5.43;0;55.33
"S-B-P10-H3";249.77;16.86;0;13.67
